Date,qaqc.check,sampleid,sample_type,farm,treatment,initialweight_g,filtered_volume_ml,final_weight_g,TSS_mgl,TUR_ntu,tur.std.check,NO3.NO2_mgl,TKN_mgl,TN_mgl,tn.std.check,TIP_mgl,tip.std.check,NH3_mgl,nh3.std.check,OrthoP_mgl,orthop.std.check,NOx_mgl,nox.std.check,NO2_mgl,no2.std.check,NO3_mgl,event_disch_l,acft_discharge,in_runoff_ac,TSS_kg,TN_kg,TIP_kg,TSS_lb,TN_lb,TIP_lb,TSS_lbac,TN_lbac,TIP_lbac,dissolvedO2_mg_l,dissolvedO2_sat_per,turbidity_sonde_ntu,watertemp_c
2/26/2018,TRUE,SIM1,EOF,SIM,CCMT,0.0921,20,0.1047,630,1020,TRUE,1.11,0.414,1.53,TRUE,2.19,TRUE,0.0659,TRUE,0.0434,TRUE,0.0667,FALSE,-0.0471,TRUE,0.0417,1605864,1.302100382,1.09343629,1011.69432,2.45697192,3.51684216,2230.381298,5.416640295,7.753230226,156.0798669,0.379051105,0.542563347,,,,
2/26/2018,TRUE,SIM2,EOF,SIM,FBM,0.0937,20,0.1305,1840,2450,TRUE,2.79,3.19,5.98,TRUE,4.73,TRUE,0.0142,TRUE,0.132,TRUE,0.336,FALSE,-0.0321,TRUE,0.311,767818.7,0.622578888,0.424726927,1412.786408,4.591555826,3.631782451,3114.628915,10.12254397,8.006627591,177.0681589,0.575471516,0.455180648,,,,
3/2/2018,TRUE,MUR1,EOF,MUR,CCMT,0.0898,20,0.1993,5475,8940,TRUE,8.45,3.34,11.8,TRUE,19,TRUE,0.0814,TRUE,0.246,TRUE,0.194,FALSE,-0.0299,TRUE,0.169,5068846,4.110028194,2.590353904,27751.93185,59.8123828,96.308074,61181.90896,131.8623791,212.3207799,3213.335554,6.925545122,11.15130147,,,,
3/2/2018,TRUE,MUR2,EOF,MUR,FBM,0.0916,20,0.1593,3385,4990,TRUE,5.04,2.69,7.73,TRUE,11.4,TRUE,0.0504,TRUE,0.267,TRUE,0.137,FALSE,-0.052,TRUE,0.112,4615494,3.742431802,2.753475268,15623.44719,35.67776862,52.6166316,34443.45168,78.6552087,115.998626,2135.365882,4.87633036,7.191483325,,,,
3/2/2018,TRUE,MUZ1,EOF,MUZ,CCMT,0.0921,50,0.1024,206,173,TRUE,0.463,0.318,0.781,TRUE,1.57,TRUE,0.122,TRUE,0.29,TRUE,0.017,FALSE,-0.0357,TRUE,-0.008,1562793,1.267176649,0.788290295,321.935358,1.220541333,2.45358501,709.7386902,2.690805423,5.409173513,36.79308918,0.139492246,0.28041335,,,,
3/2/2018,TRUE,MUZ2,EOF,MUZ,FBM,0.0913,50,0.113,434,798,TRUE,0.865,0.828,1.69,TRUE,2.88,TRUE,0.0383,TRUE,0.175,TRUE,0.0376,FALSE,-0.0465,TRUE,0.0126,1274457,1.033381997,0.695489847,553.114338,2.15383233,3.67043616,1219.39587,4.748338755,8.091843558,68.39012168,0.266311764,0.453833066,,,,
3/2/2018,TRUE,PRE1,EOF,PRE,CCMT,0.0936,50,0.1069,266,299,TRUE,0.597,0.494,1.09,TRUE,1.6,TRUE,0.0538,TRUE,0.198,TRUE,0.0232,FALSE,-0.0488,TRUE,-0.0018,705641.523,0.572163083,0.187491999,187.7006451,0.76914926,1.129026437,413.8048422,1.695666459,2.489051683,11.29996838,0.046304382,0.067969735,,,,
3/2/2018,TRUE,PRE2,EOF,PRE,FBM,0.0916,50,0.1381,930,1430,TRUE,1.76,1.28,3.04,TRUE,4.28,TRUE,0.0215,TRUE,0.255,TRUE,0.0854,FALSE,-0.0453,TRUE,0.0604,,,,,,,,,,,,,,,,
3/2/2018,TRUE,SCH1,EOF,SCH,CCMT,0.0924,50,0.1096,344,441,TRUE,0.833,1.01,1.84,TRUE,3.03,TRUE,0.0533,TRUE,0.484,TRUE,0.0182,FALSE,-0.0419,TRUE,-0.0068,2527468,2.049374698,2.369219304,869.448992,4.65054112,7.65822804,1916.787248,10.25258295,16.88332954,184.6615846,0.987724755,1.626525004,,,,
3/2/2018,TRUE,SCH2,EOF,SCH,FBM,0.0916,50,0.1578,1324,1320,TRUE,1.91,2.12,4.02,TRUE,5.44,TRUE,0.2,TRUE,0.926,TRUE,0.0111,FALSE,-0.0391,TRUE,-0.0139,1594111,1.292570568,1.700750748,2110.602964,6.40832622,8.67196384,4653.035294,14.12779598,19.11821148,510.2012384,1.549100437,2.096295119,,,,
3/2/2018,TRUE,SIM1,EOF,SIM,CCMT,0.0913,50,0.0962,98,130,TRUE,0.42,0.192,0.612,TRUE,0.529,TRUE,0.109,TRUE,0.043,TRUE,0.011,FALSE,-0.0459,TRUE,-0.014,1174994,0.952733318,0.80005597,115.149412,0.719096328,0.621571826,253.8583937,1.585319765,1.370317248,17.76475813,0.110939102,0.095893439,,,,
3/2/2018,TRUE,SIM2,EOF,SIM,FBM,0.0913,50,0.1606,1386,7540,TRUE,6.4,2.93,9.33,TRUE,10.2,TRUE,0.0945,TRUE,0.201,TRUE,0.238,FALSE,-0.0352,TRUE,0.213,210527.8,0.170704573,0.11645565,291.7915308,1.964224374,2.14738356,643.2836088,4.330329055,4.734121796,36.57098401,0.246181299,0.269137112,,,,
3/6/2018,TRUE,MUZ1,EOF,MUZ,CCMT,0.094,20,0.1237,1485,1470,TRUE,1.97,3.57,5.54,FALSE,6.32,TRUE,0.0149,FALSE,0.1,TRUE,0.0521,TRUE,-0.0383,FALSE,0.0271,50584,0.041015581,0.025515136,75.11724,0.28023536,0.31969088,165.6034673,0.617806875,0.704790514,8.584938689,0.032027313,0.036536574,,,,
3/6/2018,TRUE,MUZ2,EOF,MUZ,FBM,0.0929,20,0.1307,1890,3000,TRUE,3.04,3.84,6.88,FALSE,8.26,TRUE,0.0147,FALSE,0.0483,TRUE,0.0274,TRUE,-0.0419,FALSE,0.0024,488459,0.396062587,0.266559229,923.18751,3.36059792,4.03467134,2035.259185,7.408774174,8.894836436,114.1480193,0.415522949,0.498869121,,,,
3/6/2018,TRUE,PRE1,EOF,PRE,CCMT,0.09,20,0.1632,3660,6300,TRUE,5.47,4.07,9.54,FALSE,11.6,TRUE,0.00271,FALSE,0.0465,TRUE,0.0817,TRUE,-0.0478,FALSE,0.0567,27692.49,0.022454206,0.007358014,101.3545134,0.264186355,0.321232884,223.4461602,0.582425237,0.708190016,6.101752055,0.015904567,0.019338886,,,,
3/6/2018,TRUE,PRE2,EOF,PRE,FBM,0.0915,20,0.1771,4280,8210,TRUE,6.06,5.88,11.9,FALSE,14.5,TRUE,0.0898,FALSE,0.0711,TRUE,0.101,TRUE,-0.051,FALSE,0.076,,,,,,,,,,,,,,,,
3/6/2018,TRUE,SIM2,EOF,SIM,FBM,0.0916,20,0.1376,2300,3880,TRUE,3.8,1.85,5.65,FALSE,5.74,TRUE,0.0519,FALSE,0.00936,TRUE,0.0936,TRUE,-0.0414,FALSE,0.0686,,,,,,,,,,,,,,,,
3/12/2018,TRUE,MUR2,EOF,MUR,FBM,0.0925,20,0.1345,2100,1500,TRUE,2.83,3,5.83,TRUE,6.43,TRUE,0.0918,FALSE,0.104,TRUE,0.359,TRUE,-0.0315,FALSE,0.334,814373.57,0.660327485,0.485832607,1710.184497,4.747797913,5.236422055,3770.272742,10.46699528,11.54421606,233.7428854,0.648914772,0.715698454,,,,
3/12/2018,TRUE,MUZ1,EOF,MUZ,CCMT,0.0912,20,0.1948,5180,3160,TRUE,3.19,13.1,16.3,TRUE,18.1,TRUE,0.0747,FALSE,0.0894,TRUE,0.0878,TRUE,-0.0448,FALSE,0.0628,,,,,,,,,,,,,,,,
3/12/2018,TRUE,MUZ2,EOF,MUZ,FBM,0.0949,50,0.1124,350,115,TRUE,0.389,1.44,1.83,TRUE,1.89,TRUE,0.11,FALSE,0.0433,TRUE,0.0654,TRUE,-0.0475,FALSE,0.0404,,,,,,,,,,,,,,,,
3/12/2018,TRUE,SIM1,EOF,SIM,CCMT,0.0925,20,0.1782,4285,2100,TRUE,1.81,2.82,4.63,TRUE,4.63,TRUE,0.0348,FALSE,0.0228,TRUE,0.149,TRUE,-0.0522,FALSE,0.124,577852.4,0.468546422,0.393460956,2476.097534,2.675456612,2.675456612,5458.804623,5.898311647,5.898311647,382.0017231,0.412757988,0.412757988,,,,
3/29/2018,TRUE,MUR1,EOF,MUR,CCMT,0.0938,50,0.0966,56,64.2,TRUE,1.89,56.4,58.3,TRUE,1.06,TRUE,2.86,FALSE,-0.0108,TRUE,0.0687,FALSE,-0.0576,FALSE,0.0437,3082688,2.499569841,1.575359144,172.630528,179.7207104,3.26764928,380.581262,396.2122781,7.203859603,19.98851166,20.80946839,0.378353971,,,,
3/29/2018,TRUE,MUR2,EOF,MUR,FBM,0.0928,20,0.2694,8830,6000,TRUE,7.95,20.6,28.6,TRUE,19,TRUE,1.29,FALSE,0.00399,TRUE,1.9,FALSE,-0.0495,FALSE,1.875,1407768,1.141476022,0.83983521,12430.59144,40.2621648,26.747592,27404.48189,88.76196852,58.96774132,1698.975939,5.502911873,3.655780615,,,,
